PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202303,600,241
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202304,200,148
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202305,200,141
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202306,150,113
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202307,200,113
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202308,250,142
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202309,200,119
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202310,200,123
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202311,250,120
3424830,CD,VFW POST 10733,36000,1,ACTIVE,202312,200,141
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202301,2100,956
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202302,2174,738
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202303,1388,505
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202304,1262,286
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202305,290,158
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202306,503,219
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202307,260,188
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202308,280,180
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202309,655,409
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202310,2300,839
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202311,714,372
3424831,CD,LHOIST NORTH AMERICA,18000,1,ACTIVE,202312,342,225
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202301,560,429
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202302,465,378
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202303,5572,2510
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202304,2138,1062
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202305,3075,822
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202306,1732,956
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202307,932,702
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202308,1704,977
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202309,650,619
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202310,650,650
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202311,800,585
3424835,CD,WINGS OF FAITH FELLOWSHIP,10800,1,ACTIVE,202312,280,167
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202301,148,133
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202302,170,150
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202303,774,431
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202304,1362,582
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202305,380,355
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202307,420,359
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202308,384,150
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202309,95,75
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202310,280,121
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202311,124,99
3424836,CD,S N FOOD MART,18000,1,ACTIVE,202312,140,86
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202301,400,250
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202302,1090,404
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202303,604,354
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202304,345,123
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202305,772,384
3424837,CD,VFW POST #4209,18000,1,ACTIVE,202306,11804,404
