,PWSID,OFFICE,SYSTEMNAME,DESIGNCAPCITY,PLANTNUMBER,PLANTSTATUS,REPORTDATE,MAX_TREATED,AVG_TREATED
31994,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202307,2350.0,1270.0
31995,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202308,12000.0,1420.0
31996,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202309,5100.0,2690.0
31997,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202310,6200.0,2470.0
31998,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202311,4440.0,1730.0
31999,5264112,SD,RIVERLANDINGS WATER TREATMENT PLANT,31680.0,1,ACTIVE,202312,3430.0,1920.0
32000,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202303,34000.0,10066.0
32001,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202304,2000.0,333.0
32002,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202305,2000.0,333.0
32003,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202306,32000.0,6138.0
32004,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202307,4000.0,2064.0
32005,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202308,21000.0,5000.0
32006,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202309,16000.0,2258.0
32007,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202311,3000.0,826.0
32008,5264113,SD,LIBERTY SHORES,40000.0,1,ACTIVE,202312,2500.0,1616.0
32009,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202301,2173.0,1868.0
32010,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202302,2993.0,2146.0
32011,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202303,4560.0,3521.0
32012,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202304,11820.0,5879.0
32013,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202305,6738.0,6443.0
32014,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202306,6578.0,1312.0
32015,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202307,11773.0,1249.0
32016,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202308,7766.0,4255.0
32017,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202309,2256.0,1365.0
32018,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202310,1409.0,773.0
32019,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202311,1452.0,793.0
32020,5264114,SD,C & B FARMS,36000.0,1,ACTIVE,202312,1298.0,773.0
32021,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202301,2200.0,913.0
32022,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202302,2100.0,732.0
32023,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202303,200.0,63.0
32024,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202305,2200.0,1223.0
32025,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202306,800.0,287.0
32026,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202307,2800.0,523.0
32027,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202308,1100.0,397.0
32028,5264115,SD,WEST BASIN STORAGE RESERVOIR WTP,36000.0,1,ACTIVE,202309,1100.0,357.0
